Articulo,Precio
CABLE FV 4 mm (12AWG) NEGRO 100 m,1266.5808
Supresores de Picos 600VDC,599
Pastillas Termomagnéticas en AC,300
ITM en DC 25 AMP,299
Gabinetes de Protecciones ABB 12/18 espacios,800
Pares de Conectores MC4 (10 pares),175
PANEL FOTOVOLTAICO 530 W MARCA CANADIAN SOLAR O SIMILAR,1837.44
ESTRUCTURA UNIRAC SM ASCENDER 2x2,7610.1336
ESTRUCTURA UNIRAC SM ASCENDER 2x3,10537.092
ESTRUCTURA UNIRAC SM ASCENDER 2x4,13518.756
ESTRUCTURA UNIRAC SM ASCENDER 2x5,14229.5112
ESTRUCTURA UNIRAC SM ASCENDER 2x6,16924.4928
ESTRUCTURA UNIRAC SM ASCENDER 2x7,18000
ESTRUCTURA UNIRAC SM ASCENDER 2x8,21594.096
ESTRUCTURA UNIRAC SM ASCENDER 2x9,24575.76
ESTRUCTURA UNIRAC SM ASCENDER 2x10,27270.9504
CABLE CALIBRE 12 AWG THW-LS 100% COBRE(incluye tuberia conduit),3200
CABLE CALIBRE 10 AWG THW-LS 100% COBRE(incluye tuberia conduit),3400
CABLE CALIBRE 8 AWG THW-LS 100% COBRE(incluye tuberia conduit),5000
CABLE CALIBRE 6 AWG THW-LS 100% COBRE(incluye tuberia conduit),7600
CABLE CALIBRE 4 AWG THW-LS 100% COBRE(incluye tuberia conduit),10000
CABLE CALIBRE 2 AWG THW-LS 100% COBRE(incluye tuberia conduit),13000
CABLE CALIBRE 00 AWG THW-LS 100% COBRE(incluye tuberia conduit),14000
inversor mic 2500tl-x growatt,7099.2
inversor min 3600tl-x growatt,9918
inversor min 6000tl-x growatt,12006
inversor min 8000tl-x(e) growatt,16495.2
inversor min 10000tl-x growatt,19961.28
inversor mac 15ktl3-xl growatt,35850.96
inversor mac 20ktl3-xl growatt,38690.64
inversor mac 30ktl3-xl growatt,52930.8
inversor max 60ktl3-xl growatt 480V,50362.56
